Host Country,Year,Age,Primary %,Secondary %,Tertiary %,COB
Spain,'11,30 to 34,26.1,44.1,29.7,EU-28
Spain,'11,30 to 34,42.1,34.8,23.1,Extra-EU-28
Spain,'11,30 to 34,37.8,37.4,24.9,Foreign country
Spain,'11,30 to 34,31.4,21.4,47.2,Reporting country
Spain,'11,30 to 34,32.9,25.2,41.9,Total
Spain,'12,25 to 54,31,38,31,EU-28
Spain,'12,25 to 54,45.7,31.4,22.9,Extra-EU-28
Spain,'12,25 to 54,41.6,33.3,25.2,Foreign country
Spain,'12,25 to 54,40.4,21.2,38.4,Reporting country
Spain,'12,25 to 54,40.6,23.4,36,Total
Spain,'12,30 to 34,32.3,38.8,28.9,EU-28
Spain,'12,30 to 34,44.5,34,21.5,Extra-EU-28
Spain,'12,30 to 34,41.3,35.2,23.4,Foreign country
Spain,'12,30 to 34,32.2,21.1,46.7,Reporting country
Spain,'12,30 to 34,34.3,24.3,41.5,Total
Spain,'13,25 to 54,30.6,36.8,32.7,EU-28
Spain,'13,25 to 54,47.7,29.9,22.4,Extra-EU-28
Spain,'13,25 to 54,42.7,31.9,25.4,Foreign country
Spain,'13,25 to 54,39.4,20.9,39.7,Reporting country
Spain,'13,25 to 54,40,22.9,37.1,Total
Spain,'13,30 to 34,28.8,37.5,33.7,EU-28
Spain,'13,30 to 34,44.4,33.6,22,Extra-EU-28
Spain,'13,30 to 34,40.4,34.6,25,Foreign country
Spain,'13,30 to 34,32.5,20.6,46.9,Reporting country
