Host Country,Year,Lifelong Learning %,COB
Luxembourg,'06,8.8,EU-28
Luxembourg,'06,8.8,Extra-EU-28
Luxembourg,'06,8.8,Foreign country
Luxembourg,'06,10.1,Reporting country
Luxembourg,'06,9.5,Total
Luxembourg,'07,7.9,EU-28
Luxembourg,'07,6.7,Extra-EU-28
Luxembourg,'07,7.7,Foreign country
Luxembourg,'07,8.6,Reporting country
Luxembourg,'07,8.2,Total
Luxembourg,'08,9.3,EU-28
Luxembourg,'08,11.4,Extra-EU-28
Luxembourg,'08,9.6,Foreign country
Luxembourg,'08,10.5,Reporting country
Luxembourg,'08,10.1,Total
Luxembourg,'09,14.1,EU-28
Luxembourg,'09,16.4,Extra-EU-28
Luxembourg,'09,14.5,Foreign country
Luxembourg,'09,16.4,Reporting country
Luxembourg,'09,15.5,Total
Luxembourg,'10,12.4,EU-28
Luxembourg,'10,11.2,Extra-EU-28
Luxembourg,'10,12.2,Foreign country
Luxembourg,'10,18.6,Reporting country
Luxembourg,'10,15.3,Total
Luxembourg,'11,13.1,EU-28
Luxembourg,'11,15,Extra-EU-28
Luxembourg,'11,13.5,Foreign country
Luxembourg,'11,18.6,Reporting country
Luxembourg,'11,15.8,Total
Luxembourg,'12,13.1,EU-28
Luxembourg,'12,17.6,Extra-EU-28
Luxembourg,'12,13.9,Foreign country
Luxembourg,'12,19,Reporting country
Luxembourg,'12,16.2,Total
Luxembourg,'13,13.9,EU-28
Luxembourg,'13,16.7,Extra-EU-28
Luxembourg,'13,14.4,Foreign country
Luxembourg,'13,20,Reporting country
Luxembourg,'13,16.9,Total
Luxembourg,'14,14.2,EU-28
Luxembourg,'14,17.3,Extra-EU-28
Luxembourg,'14,14.8,Foreign country
Luxembourg,'14,19.1,Reporting country
Luxembourg,'14,16.6,Total
Luxembourg,'15,18.2,EU-28
Luxembourg,'15,22.3,Extra-EU-28
Luxembourg,'15,19.1,Foreign country
Luxembourg,'15,22.7,Reporting country
Luxembourg,'15,20.7,Total
Luxembourg,'16,15.5,EU-28
Luxembourg,'16,21.7,Extra-EU-28
Luxembourg,'16,16.8,Foreign country
Luxembourg,'16,22.7,Reporting country
Luxembourg,'16,19.2,Total
Lithuania,'06,5.9,Reporting country
Lithuania,'06,5.9,Total
Lithuania,'07,6.6,Reporting country
Lithuania,'07,6.5,Total
Lithuania,'08,6,Reporting country
Lithuania,'08,6,Total
